tp_fp_uex																													
inv-yl8-val-best			inv-yl8-val-best-nms_10			inv-yl8-val-best-nms_20			inv-yl8-val-best-nms_30			inv-yl8-val-best-nms_40			inv-yl8-val-best-nms_50			inv-yl8-val-best-nms_60			inv-yl8-val-best-nms_70			inv-yl8-val-best-nms_80			inv-yl8-val-best-nms_90		
confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP	confidence_threshold	TP	FP
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.001	0.1085776388645172	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0
0.002	3.474484443664551	0.3112840354442596	0.002	0.257731944322586	0.3282724618911743	0.002	0.257731944322586	0.3281378149986267	0.002	0.3836317360401153	0.3280032873153686	0.002	0.3836317360401153	0.3281378149986267	0.002	0.3836317360401153	0.3280032873153686	0.002	0.3826530575752258	0.3277345299720764	0.002	0.6337135434150696	0.3277345299720764	0.002	0.5076141953468323	0.3273322582244873	0.002	0.5076141953468323	0.3269309401512146
0.003	4.777415752410889	0.5058366060256958	0.003	0.257731944322586	0.5334427356719971	0.003	0.257731944322586	0.5332239270210266	0.003	0.6393861770629883	0.5330052971839905	0.003	0.6393861770629883	0.5332239270210266	0.003	0.5115089416503906	0.5330052971839905	0.003	0.5102040767669678	0.532568633556366	0.003	0.8871990442276001	0.532568633556366	0.003	0.7614213228225708	0.5319148898124695	0.003	0.7614213228225708	0.5312627553939819
0.004	5.211726188659668	0.5447471141815186	0.004	0.257731944322586	0.5744768381118774	0.004	0.257731944322586	0.5742411613464355	0.004	0.6393861770629883	0.5740057229995728	0.004	0.6393861770629883	0.5742411613464355	0.004	0.5115089416503906	0.5740057229995728	0.004	0.5102040767669678	0.5735354423522949	0.004	0.8871990442276001	0.5735354423522949	0.004	0.7614213228225708	0.572831392288208	0.004	0.7614213228225708	0.5721291303634644
0.005	5.428881645202637	0.5836575627326965	0.005	0.257731944322586	0.615510880947113	0.005	0.257731944322586	0.6152583956718445	0.005	0.6393861770629883	0.615006148815155	0.005	0.6393861770629883	0.6152583956718445	0.005	0.5115089416503906	0.615006148815155	0.005	0.6377550959587097	0.6145022511482239	0.005	1.0139416456222534	0.6145022511482239	0.005	0.8883249163627625	0.6137479543685913	0.005	0.8883249163627625	0.6129955053329468
0.006	5.863192081451416	0.6614786386489868	0.006	0.3865979313850403	0.697579026222229	0.006	0.3865979313850403	0.6972928643226624	0.006	0.7672634720802307	0.6970070004463196	0.006	0.7672634720802307	0.6972928643226624	0.006	0.6393861770629883	0.6970070004463196	0.006	0.7653061151504517	0.6964358687400818	0.006	1.1406844854354858	0.6964358687400818	0.006	1.0152283906936646	0.6955810189247131	0.006	1.0152283906936646	0.6947281956672668
0.007	6.4060797691345215	0.7003891468048096	0.007	0.5154638886451721	0.7386130094528198	0.007	0.5154638886451721	0.7383100986480713	0.007	0.8951407074928284	0.7380073666572571	0.007	0.8951407074928284	0.7383100986480713	0.007	0.7672634720802307	0.7380073666572571	0.007	0.8928571939468384	0.7374026775360107	0.007	1.2674270868301392	0.7374026775360107	0.007	1.142132043838501	0.7364975214004517	0.007	1.142132043838501	0.735594630241394
0.008	6.731813430786133	0.7392995953559875	0.008	0.5154638886451721	0.7796471118927002	0.008	0.5154638886451721	0.7793273329734802	0.008	0.8951407074928284	0.7790077924728394	0.008	0.8951407074928284	0.7793273329734802	0.008	0.7672634720802307	0.7790077924728394	0.008	1.0204081535339355	0.7783694863319397	0.008	1.3941699266433716	0.7783694863319397	0.008	1.2690354585647583	0.777414083480835	0.008	1.2690354585647583	0.7764609456062317
